yearmonth,pr,eto,tasmin,tasmax,tas
2000 Sep,142.201238417766,127.243470308343,22.9798606650599,33.1162524176302,28.0480565413451
2000 Oct,121.382809040814,129.827175364692,23.3105307460901,33.2829943986584,28.2967625723743
2000 Nov,131.945542634592,123.414067223227,23.0922097460053,33.2430742425561,28.1676419942807
2000 Dec,150.570606446125,117.453554078672,23.2943318358449,32.1466583696843,27.7204951027646
2001 Jan,339.875920448078,89.2581735630713,22.2571287120565,29.8729007347414,26.065014723399
2001 Feb,213.037416988576,94.6057749316537,22.3483134432556,31.323609493591,26.8359614684233
2001 Mar,296.912173423541,109.711670068594,23.1417718921187,31.4496272539087,27.2956995730137
2001 Apr,307.702153078903,98.3067451616716,23.1700063182522,31.2497673181387,27.2098868181955
2001 May,219.633946638841,103.045409421244,23.6231986907039,31.9018902979773,27.7625444943406
2001 Jun,226.751424258983,84.6229615881598,22.2405848531328,30.2107060723991,26.225645462766
2001 Jul,93.3343626169058,113.673946195806,22.7358331773135,32.2779414010744,27.506887289194
2001 Aug,42.0110756575003,138.376663703185,23.2797670919583,34.1457369240624,28.7127520080103
2001 Sep,105.10002780666,133.494632094569,23.3175287054841,33.7941516345775,28.5558401700308
2001 Oct,94.3735751527301,143.47469595057,24.2718956953334,35.0244020683025,29.6481488818179
2001 Nov,109.670026152797,125.78120451425,24.6970500535984,32.5191992757824,28.6081246646904
2001 Dec,174.101528935178,106.30933545327,24.4550691751333,31.9524886263625,28.2037789007479
2002 Jan,236.773453830967,110.410601095335,23.4860964809854,31.7870443045217,27.6365703927535
2002 Feb,278.413072365981,95.620057778951,23.7215703313671,31.3192971081222,27.5204337197446
2002 Mar,281.838202188706,107.119381096236,23.4006367039194,31.6629737272224,27.5318052155709
2002 Apr,369.772852231765,102.157456247059,23.4356105932352,31.3023566168911,27.3689836050632
2002 May,278.675741748697,96.5483364593348,23.6778644012754,31.3143595880988,27.4961119946871
2002 Jun,202.516411217007,102.001837566759,22.9906669891327,31.4722131386781,27.2314400639054
2002 Jul,99.3534455440454,123.992283678619,23.400506423889,33.2261823955258,28.3133444097074
2002 Aug,76.6554489812907,132.956043881072,23.4181689313178,34.0586044783355,28.7383867048266
2002 Sep,89.4372862570385,139.84286833797,23.7726461455667,34.7320657621004,29.2523559538335
2002 Oct,156.679486703591,131.727033605942,23.8040569153968,33.6443354586059,28.7241961870013
2002 Nov,114.284107981349,125.012736496841,23.9270075431237,33.3497138608372,28.6383607019804
2002 Dec,222.090682983398,105.04388669962,24.2335198186331,31.6439656372129,27.938742727923
2003 Jan,100.592168156212,130.109584592503,24.6850205032078,32.5604186166354,28.6227195599216
2003 Feb,205.865365135599,101.885063778014,24.098784017845,31.6744511742161,27.8866175960305
2003 Mar,259.060646406998,107.394226352139,23.8174608128288,31.5685543359566,27.6930075743927
2003 Apr,349.753555309138,100.946336313112,24.0279339611648,31.483930208556,27.7559320848604
2003 May,299.951345771022,101.821759299414,24.0906293377164,31.7276214906154,27.9091254141659
2003 Jun,185.354304861035,100.868678954226,23.9858834810276,32.1848904637895,28.0853869724086
2003 Jul,129.682155095614,116.973764394162,23.3784156583789,33.1378443569235,28.2581300076512
2003 Aug,127.943929976966,126.761554248234,23.3429468260123,33.4485699030524,28.3957583645323
2003 Sep,133.291187613673,129.57885229517,23.5865775655713,33.8302442565707,28.708410911071
2003 Oct,110.204964823977,134.110271194277,24.4581927667025,34.2918818270484,29.3750372968755
2003 Nov,139.521948447594,121.824288067733,24.4552624019645,33.5179525333984,28.9866074676815
2003 Dec,104.47914113942,125.010693349782,25.1083415028339,33.0461367989205,29.0772391508772
2004 Jan,179.610228418599,109.069958249493,24.7335720131429,32.0282480647988,28.3809100389708
2004 Feb,239.17406682291,97.3407909390489,24.3015086215458,31.2219450027693,27.7617268121576
2004 Mar,357.811646320411,101.775678703065,23.5923314419474,31.0278010392922,27.3100662406198
2004 Apr,284.042717002553,100.990526894846,23.6762775037416,31.5650557264068,27.6206666150742
2004 May,297.22885410038,100.688527167196,23.7130693423655,31.0348915486737,27.3739804455196
2004 Jun,145.054994346122,104.352277629474,23.1446059811985,31.4181043575972,27.2813551693978
2004 Jul,112.82995322188,116.549125514792,23.1045138032683,32.1383343299943,27.6214240666313
2004 Aug,114.753706623111,129.443448420107,23.2680976949227,32.8458400656417,28.0569688802822
